MaGiaoDich,NgayThanhToan,ThangThanhToan,DoTuoiThiSinh,TenChungChi,LinhVuc,GiaGoc,PhanTramGiamGia,DoanhThuThucTe,PhuongThucThanhToan,NgayThi,DiemThi,TrangThaiThi
HD00013,2023-02-26,2023-02,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-20,720,Đạt
HD00661,2023-02-26,2023-02,21,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Momo,2023-03-19,475,Không đạt
HD00874,2023-02-26,2023-02,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Tiền mặt,2023-03-25,685,Đạt
HD01428,2023-02-26,2023-02,21,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-03-25,720,Đạt
HD00660,2023-02-27,2023-02,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-25,615,Đạt
HD00705,2023-02-27,2023-02,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-03-14,720,Đạt
HD00296,2023-02-28,2023-02,24,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-03-30,6.5,Đạt
HD00963,2023-03-03,2023-03,25,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Momo,2023-03-24,605,Đạt
HD00210,2023-03-04,2023-03,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-25,455,Không đạt
HD00628,2023-03-04,2023-03,31,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,Chuyển khoản,2023-03-27,5.0,Đạt
HD00799,2023-03-04,2023-03,15,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-03-28,4.7,Đạt
HD00883,2023-03-04,2023-03,15,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Chuyển khoản,2023-03-20,405,Không đạt
HD00120,2023-03-05,2023-03,19,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Tiền mặt,2023-03-27,370,Không đạt
HD00239,2023-03-05,2023-03,18,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-03-31,795,Đạt
HD00402,2023-03-05,2023-03,21,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,VNPay,2023-03-31,705,Đạt
HD00893,2023-03-05,2023-03,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-03-21,585,Đạt
HD01285,2023-03-05,2023-03,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-25,775,Đạt
HD01366,2023-03-06,2023-03,20,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Chuyển khoản,2023-03-31,705,Đạt
HD01244,2023-03-07,2023-03,29,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Tiền mặt,2023-03-24,7.0,Đạt
HD01268,2023-03-07,2023-03,17,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-03-28,7.0,Đạt
HD00915,2023-03-08,2023-03,23,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-03-29,7.5,Đạt
HD00141,2023-03-10,2023-03,22,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-03-26,6.0,Đạt
HD00945,2023-03-10,2023-03,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-03-24,6.5,Đạt
HD00291,2023-03-12,2023-03,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-03-28,6.5,Đạt
HD00323,2023-03-12,2023-03,16,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-03-29,780,Đạt
HD00864,2023-03-12,2023-03,29,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Chuyển khoản,2023-04-04,6.5,Đạt
HD00507,2023-03-13,2023-03,22,IC3,Tin Học,750000,0.1,675000.0,Momo,2023-04-05,732,Đạt
HD01265,2023-03-13,2023-03,16,MOS Excel,Tin Học,850000,0,850000,Momo,2023-04-07,779,Đạt
HD00312,2023-03-14,2023-03,30,VSTEP,Ngoại Ngữ,1800000,0,1800000,VNPay,2023-03-29,7.6,Đạt
HD01092,2023-03-14,2023-03,24,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-04-10,7.0,Đạt
HD01139,2023-03-15,2023-03,25,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-04-10,7.0,Đạt
HD00719,2023-03-16,2023-03,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-04-12,405,Không đạt
HD00234,2023-03-17,2023-03,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-04-14,515,Không đạt
HD00515,2023-03-17,2023-03,26,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-04-05,750,Đạt
HD00547,2023-03-17,2023-03,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-04-09,610,Đạt
HD01168,2023-03-17,2023-03,19,MOS Word,Tin Học,850000,0,850000,VNPay,2023-04-09,843,Đạt
HD01392,2023-03-18,2023-03,22,MOS Word,Tin Học,850000,0,850000,VNPay,2023-04-11,791,Đạt
HD00071,2023-03-19,2023-03,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-04-12,400,Không đạt
HD00514,2023-03-19,2023-03,24,MOS Word,Tin Học,850000,0.1,765000.0,Momo,2023-04-05,705,Đạt
HD01293,2023-03-20,2023-03,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-04-10,610,Đạt
HD00018,2023-03-21,2023-03,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-04-04,710,Đạt
HD00281,2023-03-21,2023-03,25,MOS Excel,Tin Học,850000,0,850000,Momo,2023-04-13,627,Không đạt
HD00531,2023-03-21,2023-03,20,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-04-11,6.5,Đạt
HD01470,2023-03-21,2023-03,19,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-04-18,7.2,Đạt
HD01172,2023-03-22,2023-03,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-04-09,6.5,Đạt
HD00241,2023-03-23,2023-03,24,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,VNPay,2023-04-10,5.5,Đạt
HD00682,2023-03-23,2023-03,24,MOS Excel,Tin Học,850000,0,850000,Momo,2023-04-11,602,Không đạt
HD01425,2023-03-23,2023-03,24,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Tiền mặt,2023-04-14,6.5,Đạt
HD01495,2023-03-23,2023-03,26,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-04-09,7.8,Đạt
HD00050,2023-03-24,2023-03,23,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-04-12,5.5,Đạt
HD00315,2023-03-24,2023-03,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-04-18,265,Không đạt
HD00626,2023-03-25,2023-03,16,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-04-16,6.5,Đạt
HD00642,2023-03-25,2023-03,22,MOS Word,Tin Học,850000,0.1,765000.0,Chuyển khoản,2023-04-08,625,Không đạt
HD00820,2023-03-25,2023-03,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-04-22,980,Đạt
HD01145,2023-03-25,2023-03,18,MOS Excel,Tin Học,850000,0,850000,Chuyển khoản,2023-04-12,837,Đạt
HD00329,2023-03-26,2023-03,26,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-04-12,680,Đạt
HD00560,2023-03-26,2023-03,22,IC3,Tin Học,750000,0,750000,Chuyển khoản,2023-04-09,679,Không đạt
HD00297,2023-03-27,2023-03,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-04-17,550,Đạt
HD00403,2023-03-27,2023-03,23,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-04-23,4.0,Không đạt
HD00485,2023-03-27,2023-03,23,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-04-12,6.5,Đạt
HD00793,2023-03-28,2023-03,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-04-27,6.0,Đạt
HD01007,2023-03-29,2023-03,26,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Momo,2023-04-15,610,Đạt
HD01020,2023-03-29,2023-03,27,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,VNPay,2023-04-28,7.0,Đạt
HD01245,2023-03-30,2023-03,22,VSTEP,Ngoại Ngữ,1800000,0,1800000,VNPay,2023-04-23,7.9,Đạt
HD00340,2023-03-31,2023-03,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-04-23,6.0,Đạt
HD00207,2023-04-01,2023-04,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-04-26,810,Đạt
HD00216,2023-04-01,2023-04,15,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-04-15,7.0,Đạt
HD00260,2023-04-01,2023-04,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-04-22,545,Không đạt
HD00292,2023-04-01,2023-04,18,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-04-17,5.0,Đạt
HD00953,2023-04-01,2023-04,20,MOS Word,Tin Học,850000,0,850000,VNPay,2023-04-22,832,Đạt
HD00208,2023-04-02,2023-04,21,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Chuyển khoản,2023-04-28,745,Đạt
HD01012,2023-04-02,2023-04,23,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-04-21,565,Đạt
HD01105,2023-04-02,2023-04,29,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Momo,2023-04-30,745,Đạt
HD00855,2023-04-04,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-04-25,765,Đạt
HD01073,2023-04-04,2023-04,18,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,VNPay,2023-04-24,525,Không đạt
HD01281,2023-04-04,2023-04,25,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-04-20,7.0,Đạt
HD01451,2023-04-04,2023-04,26,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-04-18,5.5,Đạt
HD00977,2023-04-07,2023-04,23,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-05-06,4.0,Không đạt
HD00456,2023-04-09,2023-04,16,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-05-07,550,Đạt
HD00319,2023-04-10,2023-04,25,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,VNPay,2023-05-10,4.0,Đạt
HD00950,2023-04-10,2023-04,22,MOS Excel,Tin Học,850000,0,850000,Momo,2023-05-07,861,Đạt
HD01327,2023-04-10,2023-04,20,MOS Word,Tin Học,850000,0.1,765000.0,VNPay,2023-05-01,716,Đạt
HD01453,2023-04-10,2023-04,16,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-04-28,7.0,Đạt
HD00473,2023-04-12,2023-04,26,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-04-29,7.0,Đạt
HD01212,2023-04-12,2023-04,19,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-05-12,7.0,Đạt
HD01272,2023-04-12,2023-04,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-05-08,710,Đạt
